Technology type,Technology general name,Technology specific name,Target sector,Lifetime,Lifetime min,Lifetime max,Applicable geographic area,Year,Source,Capital cost marginal,Capital cost marginal min,Capital cost marginal max,Capital cost fixed,Capital cost fixed min,Capital cost fixed max,Installation cost,Installation cost min,Installation cost max,Operation cost,Operation cost min,Operation cost max,Operation cost per kW,Operation cost per kW min,Operation cost per kW max,Maintenance cost,Maintenance cost min,Maintenance cost max,OM cost,OM cost min,OM cost max,OM cost per kW,OM cost per kW min,OM cost per kW max,OM cost per kWh,OM cost per kWh min,OM cost per kWh max,Original currency,Assumed currency conversion rate,Output type,Fuel type,Prime mover,Emissions control type,Additional operational control type,Capacity,Capacity min,Capacity max,Efficiency,Efficiency min,Efficiency max,Electrical efficiency,Electrical efficiency min,Electrical efficiency max,Thermal efficiency,Thermal efficiency min,Thermal efficiency max,Heat to power ratio,Heat to power ratio min,Heat to power ratio max,Load factor,Load factor min,Load factor max,Power density,Power density min,Power density max,Area,Area min,Area max,Type of energy stored,Volumetric storage capacity,Volumetric storage capacity min,Volumetric storage capacity max,Energy storage capacity,Energy storage capacity min,Energy storage capacity max,Max charge rate,Max charge rate min,Max charge rate max,Max discharge rate,Max discharge rate min,Max discharge rate max,Charging efficiency,Charging efficiency min,Charging efficiency max,Discharging efficiency,Discharging efficiency min,Discharging efficiency max,Min state of charge,Min state of charge min,Min state of charge max,Loss rate,Loss rate min,Loss rate max,Lifetime cycles,Lifetime cycles min,Lifetime cycles max,Additional property 1 name,Additional property 1 value,Additional property 1 units,Additional property 2 name,Additional property 2 value,Additional property 2 units,Additional property 3 name,Additional property 3 value,Additional property 3 units,Additional property 4 name,Additional property 4 value,Additional property 4 units,Additional property 5 name,Additional property 5 value,Additional property 5 units,Comment
Energy conversion technology,Biomass boiler,Biomass boiler - District heating boiler,,15,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,915.083,,,,,,,,,,,,22.3191,,,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,100,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - District heating boiler,,30,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,89.2764,,,,,,,,,,,,4.46382,,,,,,,,,,,,,,,GBP,1.48794,Heat,Natural Gas,,,,100,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Domestic,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,952.282,1108.52,,1532.58,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Non-domestic,,,,,2020,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,610.055,610.055,,,,,,,,,,1309.39,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,,,,,,,,"Medrano, M., Brouwer, J., Carreras-Sospedra, M., Rodriguez, M., Dabdub, D., Samuelsen, G. 2008. A methodology for developing distributed generation scenarios in urban areas using geographical information systems. International Journal of Energy Technology and Policy. 6. 4. 2008. 413дус 434.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Microturbine,,,,,,,,"Goldstein, L., Hedman, B., Knowles, D., Freedman, S.I., Woods, R., Schweizer, T. 2003. Gas-Fired Distributed Energy Resource Technology Characterizations. Gas Research Institute. National Renewable Energy Laboratory. Report for the U.S. Department of Energy дус Office of Energy Efficiency and Renewabl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Solid Oxide,,,,,,,"Carreras-Sospedra, M, Dabdub, D., Brouwer, J., Knipping, E., Kumar, N., Darrow, K., Hampson, A., Hedman, B. 2008. Air quality impacts of distributed energy resources implemented in the northeastern United States. Journal of the Air and Waste Management Association. 58. 7. 902дус912.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Microturbine,,,,,,,,United States Environmental Protection Agency. 2008. Catalog of CHP Technologies. USEPA. http://www.epa.gov/chp/technologies.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Domestic,,,,,2030,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,682.964,818.367,,1145.71,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Small,,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",1855.46,,,,11903.5,14879.4,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,,,,,,,,United States Environmental Protection Agency. 2008. Catalog of CHP Technologies. USEPA. http://www.epa.gov/chp/technologies.html,,,,,1052.46,2104.93,,,,,,,,,,,,,,,,,,,,0.00861107,0.0210493,USD,0.956785,CHP,"NG, biogas, propane, landfill gas",,,,,100,5000,,,,,22,40,,,,,1,2,,,,,35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,,,,,,,,"Heath, G and Nazaroff, W. 2007. Intake-to-delivered-energy ratios for central station and distributed electricity generation in California. Atmospheric Environment. 41. 39. 9159 дус 9172.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Domestic,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",239.558,,,,7164.43,7761.1,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar PV,,Non-Domestic,,,,,2020,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,8917.54,9909.37,,,,,,,,,,987.347,,,,,,,,,,,,GBP,4.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - 50 kW
Energy conversion technology,Ground source heat pump,,Small - Commercial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,2112.87,2321.19,,,,,116059,127963,,,,,5.95176,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,55,,,360,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Domestic,15,,,,,Poeyry. 2009. The Potential and Costs of District Heating Networks. Poeyry. A report to the Department of Energy and Climate Change.  http://www.poyry.co.uk/sites/www.poyry.uk/files A_report_providing_a_technical_analysis_and_costing_of_DH_networks.pdf,785.632,,,,,,,,,,,,26.7829,,,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Gas turbine,Gas turbine - Medium,,,,,,,Regulatory Assistance Project.  2001. Model Regulations for the Output of Specified Air Emissions from Smaller-scale Electric Generation Resources.  Model Rule and Technical Support Documents. Regulatory Assistance Project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Hydrogen PEMFC - CHP (&gt;200 kW),,,,,,,"Hawkins, S. Joffe, D. Hughes, N. 2005. Hydrogen Fuel Cells for Stationary Power: Technology Characterisation and Market Assessment. UKSHEC Social Science Working Paper No. 24, Policy Studies Institute, London.",4273.36,,,,,,,,,,,,,,,,,,,,,22.3191,,,0.0199384,,,GBP,1.48794,CHP,Hydrogen,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,CCGT,,,,,,,,"Pehnt, M. 2008 Environmental impacts of distributed energy systems - The case of micro cogeneration. Environmental Science and Policy. 11. 1. 25 дус 37.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,Biomass boiler - District heating boiler,Large - Industrial,35,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,944.842,1859.93,,,,,330323,651718,,,,,23.807,46.1261,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,35,,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Non-Domestic,,,,,2009,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",694.868,,,,,,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Diesel,,,,,,,"Heath, G and Nazaroff, W. 2007. Intake-to-delivered-energy ratios for central station and distributed electricity generation in California. Atmospheric Environment. 41. 39. 9159 дус 9172.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Small - Commercial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,810.927,,,,,,44638.2,,,,,,8.92764,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,55,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,,,,,,,,"Goldstein, L., Hedman, B., Knowles, D., Freedman, S.I., Woods, R., Schweizer, T. 2003. Gas-Fired Distributed Energy Resource Technology Characterizations. Gas Research Institute. National Renewable Energy Laboratory. Report for the U.S. Department of Energy дус Office of Energy Efficiency and Renewabl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Domestic,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,11756.2,14369,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Electric heater,,Domestic,,,,,2008,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2231.91,2975.88,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Rich - 100 kW,,,,,,,"Energy and Environmental Analysis, Inc. 2004. Distributed Energy Resources Emissions Survey and Technology Characterizations. Technical Report. Electricity Innovation Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,100,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Gas turbine,,,,,,,,United States Environmental Protection Agency. 2008. Catalog of CHP Technologies. USEPA. http://www.epa.gov/chp/technologies.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - Condensing boiler,Domestic,,,,,2010,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2975.88,3719.85,,,,,,,,,,130.939,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Non-domestic,,,,,2011,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,610.055,610.055,,,,,,,,,,1309.39,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Non-Domestic,,,,,2014,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",596.664,,,,,,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Gas Fired/Rich Burn,,,,,,,Regulatory Assistance Project.  2001. Model Regulations for the Output of Specified Air Emissions from Smaller-scale Electric Generation Resources.  Model Rule and Technical Support Documents. Regulatory Assistance Project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,3-Way Catalyst,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Rich Burn,,,,,,,"Carreras-Sospedra, M, Dabdub, D., Brouwer, J., Knipping, E., Kumar, N., Darrow, K., Hampson, A., Hedman, B. 2008. Air quality impacts of distributed energy resources implemented in the northeastern United States. Journal of the Air and Waste Management Association. 58. 7. 902дус912.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,3-Way Catalyst,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Gas Fired,,,,,,,"Allison, JE. and Lents, J. 2002. Encouraging distributed generation of power that improves air quality: can we have our cake and eat it too?. Energy Policy. 30. 9. 737 дус 752.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Gas turbine,Gas turbine - 25 MW,,,,,,,"Energy and Environmental Analysis, Inc. 2004. Distributed Energy Resources Emissions Survey and Technology Characterizations. Technical Report. Electricity Innovation Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,25000,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,Biomass boiler - District heating boiler,Domestic,35,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,944.842,2306.31,,,,,1133810,2767570,,,,,23.807,58.0297,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,1200,,,73,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Large - Commercial,20,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,907.643,,,,,,272293,,,,,,1.48794,,,,,,,,,,,,,,GBP,1.48794,Heat,Electricity,,,,,300,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Small - Industrial,15,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,513.339,629.399,,,,,52077.9,629399,,,,,25.295,31.2467,,,,,,,,,,,,,GBP,1.48794,Heat,Biomass,,,,,100,1000,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Small - Industrial,15,,,,,"Radov, D., Klevnaes, P, Hanif, A., Abu-Ebid, M, Barker, N., Stambaugh, J. 2009. The UK Supply Curve for Renewable Heat NERA Economic Consulting and AEA Consulting. Study for the Department of Energy and Climate Change. http://www.rhincentive.co.uk/library/regulation/0907Heat_Supply_Curve.pdf",,513.339,629.399,,,,,52077.9,629399,,,,,25.295,31.2467,,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,100,1000,81,,,,,,,,,,,,,20,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Air source heat pump,,Domestic,,,,,2013,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",245.51,,,,7368.28,7982.8,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Biomass boiler,,Non-domestic,,,,,2050,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,610.055,610.055,,,,,,,,,,1309.39,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Reciprocating engine,Reciprocating engine - Lean - 5 MW,,,,,,,"Energy and Environmental Analysis, Inc. 2004. Distributed Energy Resources Emissions Survey and Technology Characterizations. Technical Report. Electricity Innovation Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,5000,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Microturbine,(Microturbine - (&lt;100 kW)),,20,,,,,Department for Trade and Infrastructure. 2003. Options for a Low Carbon Future. DTI Economics Paper No. 4. Department for Trade and Industry. http://www.dti.gov.uk/files/file14769.pdf,1115.95,,,,,,,,,,,,,,,,,,,,,0.639814,,,0,,,GBP,1.48794,CHP,Natural Gas,,,,,,,80,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,,,,,,,,United States Environmental Protection Agency. 2008. Catalog of CHP Technologies. USEPA. http://www.epa.gov/chp/technologies.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Gas driven SOFC - CHP,,,,,,,"Hawkins, S. Joffe, D. Hughes, N. 2005. Hydrogen Fuel Cells for Stationary Power: Technology Characterisation and Market Assessment. UKSHEC Social Science Working Paper No. 24, Policy Studies Institute, London.",3456.48,,,,,,,,,,,,,,,,,,,,,22.3191,,,0.00773729,,,GBP,1.48794,CHP,Natural Gas,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - PAFC,,,,,,,"Energy and Environmental Analysis, Inc. 2004. Distributed Energy Resources Emissions Survey and Technology Characterizations. Technical Report. Electricity Innovation Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar PV,,Non-Domestic,,,,,2050,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,8487.94,9761.13,,,,,,,,,,1867.35,,,,,,,,,,,,GBP,8.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - 50 kW
Energy conversion technology,Air source heat pump,,Domestic,,,,,2050,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",185.992,,,,5207.79,5951.76,,,,,,,,,,65.4694,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - Molten Carbonate,,,,,,,National Renewable Energy Laboratory. 2011. Life Cycle Assessment of Existing and Emerging Distributed Generation Technologies in California. Report for the California Energy Commission дус Public Interest Energy Research Program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
